mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__C,param_clf__kernel,param_ct1__num_pipe__reduce_dim,param_clf__min_samples_split,param_clf__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
37.06011619567871,0.5160830988223201,3.180969572067261,0.07154594126064097,"HistGradientBoostingClassifier(min_samples_leaf=50, random_state=42)",,,passthrough,,50,"{'clf': HistGradientBoostingClassifier(min_samples_leaf=50, random_state=42), 'clf__min_samples_leaf': 50, 'ct1__num_pipe__reduce_dim': 'passthrough'}",0.6611839009588297,0.5461060961759606,0.5967888920207443,0.6335864152554331,0.4763406378672622,0.5828011884556459,0.06572522097411934,1
29.0282386302948,0.9062239845800741,3.118442440032959,0.30727692823902275,"HistGradientBoostingClassifier(min_samples_leaf=50, random_state=42)",,,passthrough,,100,"{'clf': HistGradientBoostingClassifier(min_samples_leaf=50, random_state=42), 'clf__min_samples_leaf': 100, 'ct1__num_pipe__reduce_dim': 'passthrough'}",0.6807584737405683,0.5020390101622265,0.608742383236003,0.6099642659977554,0.47597776727967245,0.5754963800832452,0.07572764321729913,2
22.30595965385437,0.8057130003914946,3.2521385669708254,0.4400460517948966,"HistGradientBoostingClassifier(min_samples_leaf=50, random_state=42)",,,passthrough,,250,"{'clf': HistGradientBoostingClassifier(min_samples_leaf=50, random_state=42), 'clf__min_samples_leaf': 250, 'ct1__num_pipe__reduce_dim': 'passthrough'}",0.6148234697962479,0.47972638904563547,0.6143589354368868,0.6330392118987394,0.498687537019242,0.5681271086393502,0.06506620387783686,3
15.249069595336914,0.2900308630298187,2.4117884159088137,0.08395979577991233,RandomForestClassifier(random_state=42),,,passthrough,2,,"{'clf': RandomForestClassifier(random_state=42), 'clf__min_samples_split': 2, 'ct1__num_pipe__reduce_dim': 'passthrough'}",0.6163877475999897,0.44473248267995336,0.5978341861113139,0.6091493659846732,0.5561898409358107,0.5648587246623482,0.06357632535669257,4
14.748375844955444,0.18261589835216793,2.774700880050659,0.14776829197144492,RandomForestClassifier(random_state=42),,,passthrough,20,,"{'clf': RandomForestClassifier(random_state=42), 'clf__min_samples_split': 20, 'ct1__num_pipe__reduce_dim': 'passthrough'}",0.5773016618314897,0.45447169459769937,0.5742924081961344,0.5518588385930585,0.48960145971381924,0.5295052125864403,0.049015133095290604,5
43.95797142982483,1.0638325589391582,3.1374934673309327,0.2559065919532424,"HistGradientBoostingClassifier(min_samples_leaf=50, random_state=42)",,,passthrough,,5,"{'clf': HistGradientBoostingClassifier(min_samples_leaf=50, random_state=42), 'clf__min_samples_leaf': 5, 'ct1__num_pipe__reduce_dim': 'passthrough'}",0.5932635295298836,0.4321408694169113,0.49368525202959335,0.6227727109327377,0.46396341947148007,0.5211651562761211,0.07412796782698526,6
10.649555206298828,0.6964851085942801,2.4469997882843018,0.16012365656555247,DecisionTreeClassifier(random_state=42),,,passthrough,2,,"{'clf': DecisionTreeClassifier(random_state=42), 'clf__min_samples_split': 2, 'ct1__num_pipe__reduce_dim': 'passthrough'}",0.3518878485646777,0.1787356613942333,0.44314267082918696,0.5309890989286886,0.4499842498596773,0.39094790591529277,0.12031695137116033,7
11.82599196434021,0.4427108739493782,2.9517001152038573,0.2978229921840916,DecisionTreeClassifier(random_state=42),,,passthrough,20,,"{'clf': DecisionTreeClassifier(random_state=42), 'clf__min_samples_split': 20, 'ct1__num_pipe__reduce_dim': 'passthrough'}",0.3601681305702977,0.18495024864726944,0.39311765312714336,0.5183934467759859,0.3962895013578941,0.3705837960957181,0.10731686806517811,8
13.649741649627686,0.5296992705150864,2.5671424865722656,0.21765586307196177,RandomForestClassifier(random_state=42),,,passthrough,200,,"{'clf': RandomForestClassifier(random_state=42), 'clf__min_samples_split': 200, 'ct1__num_pipe__reduce_dim': 'passthrough'}",0.2860654730099633,0.25628509461467797,0.3484320337286856,0.3359305402760652,0.3321986969226833,0.3117823677104151,0.03488399274771126,9
15.696370267868042,0.25554022851627045,2.454060983657837,0.06480456547477208,RandomForestClassifier(random_state=42),,,PCA(n_components=0.95),2,,"{'clf': RandomForestClassifier(random_state=42), 'clf__min_samples_split': 2, 'ct1__num_pipe__reduce_dim': PCA(n_components=0.95)}",0.33022682119405855,0.24880791176573744,0.3530721476012164,0.2697731073540618,0.34017575975563275,0.3084111495341414,0.04129155602984797,10
16.081178188323975,0.5277819301255157,2.526797866821289,0.11186314393009775,RandomForestClassifier(random_state=42),,,PCA(n_components=0.95),20,,"{'clf': RandomForestClassifier(random_state=42), 'clf__min_samples_split': 20, 'ct1__num_pipe__reduce_dim': PCA(n_components=0.95)}",0.27067453244595263,0.2991968593605016,0.31760323362720283,0.3153551176759185,0.3234255466619902,0.3052510579543132,0.019063943680890327,11
11.84608006477356,0.31631998918308485,2.7626349925994873,0.16514963574535077,DecisionTreeClassifier(random_state=42),,,passthrough,200,,"{'clf': DecisionTreeClassifier(random_state=42), 'clf__min_samples_split': 200, 'ct1__num_pipe__reduce_dim': 'passthrough'}",0.3108922500234012,0.164517387062584,0.2727364085247768,0.4036532302248944,0.2926187135884254,0.2888835978848164,0.07667866259170435,12
