mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__l2_regularization,param_clf__learning_rate,param_clf__max_iter,param_clf__min_samples_leaf,param_ct1__num_pipe__handle_skewness__log_thresh_abs,param_ct1__num_pipe__handle_skewness__sqrt_thresh_abs,param_ct1__num_pipe__imputer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
94.43653659820556,3.3242213207573967,2.432683229446411,0.12410154097001073,"HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42)",0.001,0.1,1000,50,4,1,SimpleImputer(),"{'clf': HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42), 'clf__l2_regularization': 0.001, 'clf__learning_rate': 0.1, 'clf__max_iter': 1000, 'clf__min_samples_leaf': 50, 'ct1__num_pipe__handle_skewness__log_thresh_abs': 4, 'ct1__num_pipe__handle_skewness__sqrt_thresh_abs': 1, 'ct1__num_pipe__imputer': SimpleImputer()}",0.6229467531153072,0.6467204941646301,0.7270301798203477,0.6992316079563061,0.6823446295331983,0.6756547329179579,0.037028047760658336,11
7.864014196395874,0.30323951043468095,0.1779047966003418,0.009530214186454517,"HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42)",100.0,1.0,50,50,6,3,SimpleImputer(),"{'clf': HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42), 'clf__l2_regularization': 100.0, 'clf__learning_rate': 1.0, 'clf__max_iter': 50, 'clf__min_samples_leaf': 50, 'ct1__num_pipe__handle_skewness__log_thresh_abs': 6, 'ct1__num_pipe__handle_skewness__sqrt_thresh_abs': 3, 'ct1__num_pipe__imputer': SimpleImputer()}",0.6026628072335292,0.7348916796099135,0.6837758471136876,0.6841247582454246,0.6653852864282761,0.6741680757261662,0.04258859395779503,12
63.17770009040832,0.8458328029113411,1.5367337703704833,0.21701673480398975,"HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42)",0.001,0.1,500,50,6,1,SimpleImputer(),"{'clf': HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42), 'clf__l2_regularization': 0.001, 'clf__learning_rate': 0.1, 'clf__max_iter': 500, 'clf__min_samples_leaf': 50, 'ct1__num_pipe__handle_skewness__log_thresh_abs': 6, 'ct1__num_pipe__handle_skewness__sqrt_thresh_abs': 1, 'ct1__num_pipe__imputer': SimpleImputer()}",0.6359390914336478,0.6343555097973574,0.7437138634964044,0.6437094049616319,0.7054010216565174,0.6726237782691118,0.04421405999341747,13
186.70610451698303,2.053870714816719,3.005345106124878,0.11772155097192612,"HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42)",0.001,0.01,1000,50,5,2,SimpleImputer(),"{'clf': HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42), 'clf__l2_regularization': 0.001, 'clf__learning_rate': 0.01, 'clf__max_iter': 1000, 'clf__min_samples_leaf': 50, 'ct1__num_pipe__handle_skewness__log_thresh_abs': 5, 'ct1__num_pipe__handle_skewness__sqrt_thresh_abs': 2, 'ct1__num_pipe__imputer': SimpleImputer()}",0.6154425574413154,0.6638705717403723,0.7738320692565909,0.683768314326229,0.614660606993289,0.6703148239515594,0.05838955790648575,14
7.216570568084717,0.14222648502033985,0.2567075252532959,0.019295731181731446,"HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42)",0.01,0.1,100,250,4,1,SimpleImputer(),"{'clf': HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42), 'clf__l2_regularization': 0.01, 'clf__learning_rate': 0.1, 'clf__max_iter': 100, 'clf__min_samples_leaf': 250, 'ct1__num_pipe__handle_skewness__log_thresh_abs': 4, 'ct1__num_pipe__handle_skewness__sqrt_thresh_abs': 1, 'ct1__num_pipe__imputer': SimpleImputer()}",0.6254812426480101,0.6915994366797726,0.6965504892072565,0.6961097047603197,0.6368797245201738,0.6693241195631066,0.03139990177341091,15
344.2775016307831,2.6140794622927697,7.400787115097046,0.3210448901989471,"HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42)",10.0,0.1,2000,50,4,3,KNNImputer(n_neighbors=10),"{'clf': HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42), 'clf__l2_regularization': 10.0, 'clf__learning_rate': 0.1, 'clf__max_iter': 2000, 'clf__min_samples_leaf': 50, 'ct1__num_pipe__handle_skewness__log_thresh_abs': 4, 'ct1__num_pipe__handle_skewness__sqrt_thresh_abs': 3, 'ct1__num_pipe__imputer': KNNImputer(n_neighbors=10)}",0.6696504164481204,0.6560025444026991,0.6508094453290427,0.6740401384592802,0.6570614461259308,0.6615127981530147,0.00880788600746109,16
123.42138237953186,3.059062473263008,2.182684803009033,0.11242339373185707,"HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42)",0.01,0.1,1000,5,6,2,SimpleImputer(),"{'clf': HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42), 'clf__l2_regularization': 0.01, 'clf__learning_rate': 0.1, 'clf__max_iter': 1000, 'clf__min_samples_leaf': 5, 'ct1__num_pipe__handle_skewness__log_thresh_abs': 6, 'ct1__num_pipe__handle_skewness__sqrt_thresh_abs': 2, 'ct1__num_pipe__imputer': SimpleImputer()}",0.6229521887957323,0.6906302618244757,0.7124831227368806,0.5971934722877201,0.6730150617986477,0.6592548214886913,0.042840417198026656,17
152.67394156455993,3.8445164094614297,4.724451971054077,0.12919615730136383,"HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42)",100.0,1.0,2000,250,6,1,SimpleImputer(),"{'clf': HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42), 'clf__l2_regularization': 100.0, 'clf__learning_rate': 1.0, 'clf__max_iter': 2000, 'clf__min_samples_leaf': 250, 'ct1__num_pipe__handle_skewness__log_thresh_abs': 6, 'ct1__num_pipe__handle_skewness__sqrt_thresh_abs': 1, 'ct1__num_pipe__imputer': SimpleImputer()}",0.6388912393606023,0.7076714100984495,0.6815044236770544,0.7000044985449158,0.5664955833397455,0.6589134310041536,0.051996376858544996,18
205.96517963409423,2.928740034834944,4.9254883289337155,0.2069201157460001,"HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42)",100.0,1.0,2000,100,4,2,SimpleImputer(strategy='median'),"{'clf': HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42), 'clf__l2_regularization': 100.0, 'clf__learning_rate': 1.0, 'clf__max_iter': 2000, 'clf__min_samples_leaf': 100, 'ct1__num_pipe__handle_skewness__log_thresh_abs': 4, 'ct1__num_pipe__handle_skewness__sqrt_thresh_abs': 2, 'ct1__num_pipe__imputer': SimpleImputer(strategy='median')}",0.6912626850930599,0.6382440527304983,0.6747101516073708,0.667572861163181,0.604777926302108,0.6553135353792436,0.030542024090152314,19
358.83103919029236,2.6224244425073224,5.324032926559449,0.28065673968221344,"HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42)",0.1,0.1,2000,5,5,2,SimpleImputer(),"{'clf': HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42), 'clf__l2_regularization': 0.1, 'clf__learning_rate': 0.1, 'clf__max_iter': 2000, 'clf__min_samples_leaf': 5, 'ct1__num_pipe__handle_skewness__log_thresh_abs': 5, 'ct1__num_pipe__handle_skewness__sqrt_thresh_abs': 2, 'ct1__num_pipe__imputer': SimpleImputer()}",0.575303033908927,0.669210529304499,0.7375690417852796,0.6040090825586591,0.6807431853279435,0.6533669745770616,0.05765525752393026,20
148.7017349720001,1.2753466431504714,1.614189624786377,0.14290409204534343,"HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42)",0.01,0.01,500,5,4,2,SimpleImputer(),"{'clf': HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42), 'clf__l2_regularization': 0.01, 'clf__learning_rate': 0.01, 'clf__max_iter': 500, 'clf__min_samples_leaf': 5, 'ct1__num_pipe__handle_skewness__log_thresh_abs': 4, 'ct1__num_pipe__handle_skewness__sqrt_thresh_abs': 2, 'ct1__num_pipe__imputer': SimpleImputer()}",0.5907546163659391,0.6956956051093137,0.6969633616831297,0.6327317635193234,0.6432654714335223,0.6518821636222456,0.04032243622474861,21
120.30517101287842,2.865301352965882,3.532461738586426,0.17873542383712435,"HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42)",0.001,0.1,2000,100,5,3,SimpleImputer(),"{'clf': HistGradientBoostingClassifier(l2_regularization=10.0, learning_rate=0.01,
                               max_iter=2000, min_samples_leaf=50,
                               random_state=42), 'clf__l2_regularization': 0.001, 'clf__learning_rate': 0.1, 'clf__max_iter': 2000, 'clf__min_samples_leaf': 100, 'ct1__num_pipe__handle_skewness__log_thresh_abs': 5, 'ct1__num_pipe__handle_skewness__sqrt_thresh_abs': 3, 'ct1__num_pipe__imputer': SimpleImputer()}",0.5846598396352947,0.6648738983172664,0.7374122337294333,0.6025705967543556,0.6575013823499413,0.6494035901572583,0.05373175693963901,22
